dateTime,open,high,low,close,volume
1674491400000,22813.04000000,22930.00000000,22765.27000000,22911.17000000,7874.35835000
1674493200000,22911.86000000,22923.33000000,22852.59000000,22905.29000000,5885.92458000
1674495000000,22905.28000000,23067.86000000,22850.15000000,23065.22000000,8167.92663000
1674496800000,23065.22000000,23180.00000000,22990.00000000,23105.33000000,12163.11424000
1674498600000,23105.33000000,23149.55000000,22862.07000000,22936.20000000,8541.20126000
1674500400000,22935.95000000,22967.99000000,22796.57000000,22845.11000000,10081.35316000
1674502200000,22847.31000000,22880.04000000,22654.00000000,22792.47000000,10714.75065000
1674504000000,22792.47000000,22874.97000000,22753.71000000,22852.40000000,5937.40340000
1674505800000,22852.40000000,23034.90000000,22822.55000000,23022.64000000,6475.32134000
1674507600000,23020.53000000,23044.56000000,22937.54000000,22983.75000000,4944.00996000
1674509400000,22983.75000000,23015.03000000,22942.24000000,22996.00000000,3486.25750000
1674511200000,22996.82000000,23034.46000000,22959.72000000,22981.37000000,3149.20946000
1674513000000,22981.69000000,23005.11000000,22852.01000000,22925.32000000,3302.81953000
